,action,boro,building,camis,critical_flag,cuisine_description,dba,grade,grade_date,inspection_date,inspection_type,phone,record_date,score,street,violation_code,violation_description,zipcode,address
560,Violations were cited in the following area(s).,STATEN ISLAND,203,40364299,Critical,Delicatessen,B & M HOT BAGEL & GROCERY,A,2017-09-07T00:00:00,2017-09-07T00:00:00,Cycle Inspection / Re-inspection,7189668445,2018-01-31T06:00:53,13.0,GIFFORDS LANE,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10308,"203 GIFFORDS LANE STATEN ISLAND, NY 10308"
561,Violations were cited in the following area(s).,STATEN ISLAND,203,40364299,Not Critical,Delicatessen,B & M HOT BAGEL & GROCERY,A,2017-09-07T00:00:00,2017-09-07T00:00:00,Cycle Inspection / Re-inspection,7189668445,2018-01-31T06:00:53,13.0,GIFFORDS LANE,09C,Food contact surface not properly maintained.,10308,"203 GIFFORDS LANE STATEN ISLAND, NY 10308"
588,Violations were cited in the following area(s).,BROOKLYN,10004,40364305,Critical,Pizza/Italian,PHILADELPHIA GRILLE EXPRESS,A,2017-06-14T00:00:00,2017-06-14T00:00:00,Cycle Inspection / Re-inspection,7182380747,2018-01-31T06:00:53,9.0,4 AVENUE,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,11209,"10004 4 AVENUE BROOKLYN, NY 11209"
589,Violations were cited in the following area(s).,BROOKLYN,10004,40364305,Not Critical,Pizza/Italian,PHILADELPHIA GRILLE EXPRESS,A,2017-06-14T00:00:00,2017-06-14T00:00:00,Cycle Inspection / Re-inspection,7182380747,2018-01-31T06:00:53,9.0,4 AVENUE,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,11209,"10004 4 AVENUE BROOKLYN, NY 11209"
598,Violations were cited in the following area(s).,BROOKLYN,178,40364335,Critical,Steak,PETER LUGER STEAKHOUSE,A,2017-11-30T00:00:00,2017-11-30T00:00:00,Cycle Inspection / Re-inspection,7183877400,2018-01-31T06:00:53,10.0,BROADWAY,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,11211,"178 BROADWAY BROOKLYN, NY 11211"
599,Violations were cited in the following area(s).,BROOKLYN,178,40364335,Not Critical,Steak,PETER LUGER STEAKHOUSE,A,2017-11-30T00:00:00,2017-11-30T00:00:00,Cycle Inspection / Re-inspection,7183877400,2018-01-31T06:00:53,10.0,BROADWAY,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,11211,"178 BROADWAY BROOKLYN, NY 11211"
620,Violations were cited in the following area(s).,MANHATTAN,1,40364347,Critical,American,METROPOLITAN CLUB,A,2017-03-06T00:00:00,2017-03-06T00:00:00,Cycle Inspection / Initial Inspection,2128387400,2018-01-31T06:00:53,12.0,EAST   60 STREET,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",10022,"1 EAST   60 STREET MANHATTAN, NY 10022"
621,Violations were cited in the following area(s).,MANHATTAN,1,40364347,Critical,American,METROPOLITAN CLUB,A,2017-03-06T00:00:00,2017-03-06T00:00:00,Cycle Inspection / Initial Inspection,2128387400,2018-01-31T06:00:53,12.0,EAST   60 STREET,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10022,"1 EAST   60 STREET MANHATTAN, NY 10022"
654,Violations were cited in the following area(s).,MANHATTAN,21,40364362,Critical,American,21 CLUB,A,2017-01-28T00:00:00,2017-01-28T00:00:00,Cycle Inspection / Re-inspection,2125827200,2018-01-31T06:00:53,12.0,WEST   52 STREET,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10019,"21 WEST   52 STREET MANHATTAN, NY 10019"
655,Violations were cited in the following area(s).,MANHATTAN,21,40364362,Critical,American,21 CLUB,A,2017-01-28T00:00:00,2017-01-28T00:00:00,Cycle Inspection / Re-inspection,2125827200,2018-01-31T06:00:53,12.0,WEST   52 STREET,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10019,"21 WEST   52 STREET MANHATTAN, NY 10019"
669,Violations were cited in the following area(s).,BRONX,658,40364363,Critical,American,MANHEM CLUB,A,2017-08-01T00:00:00,2017-08-01T00:00:00,Cycle Inspection / Initial Inspection,7188228965,2018-01-31T06:00:53,5.0,CLARENCE AVE,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10465,"658 CLARENCE AVE BRONX, NY 10465"
675,Violations were cited in the following area(s).,MANHATTAN,1028,40364373,Critical,Italian,ISLE OF CAPRI RESTURANT,A,2017-01-25T00:00:00,2017-01-25T00:00:00,Cycle Inspection / Initial Inspection,2127581902,2018-01-31T06:00:53,8.0,3 AVENUE,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",10065,"1028 3 AVENUE MANHATTAN, NY 10065"
714,Violations were cited in the following area(s).,MANHATTAN,62,40364439,Critical,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",SEVILLA RESTAURANT,A,2017-10-30T00:00:00,2017-10-30T00:00:00,Cycle Inspection / Re-inspection,2129293189,2018-01-31T06:00:53,7.0,CHARLES STREET,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,10014,"62 CHARLES STREET MANHATTAN, NY 10014"
740,Violations were cited in the following area(s).,MANHATTAN,100,40364443,Not Critical,American,CRIMINAL COURT BLDG CAFETERIA,A,2017-12-12T00:00:00,2017-12-12T00:00:00,Cycle Inspection / Initial Inspection,2129621037,2018-01-31T06:00:53,2.0,CENTRE STREET,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10013,"100 CENTRE STREET MANHATTAN, NY 10013"
741,Violations were cited in the following area(s).,MANHATTAN,100,40364443,Not Critical,American,CRIMINAL COURT BLDG CAFETERIA,A,2017-04-18T00:00:00,2017-04-18T00:00:00,Cycle Inspection / Re-inspection,2129621037,2018-01-31T06:00:53,4.0,CENTRE STREET,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,10013,"100 CENTRE STREET MANHATTAN, NY 10013"
742,Violations were cited in the following area(s).,MANHATTAN,100,40364443,Not Critical,American,CRIMINAL COURT BLDG CAFETERIA,A,2017-04-18T00:00:00,2017-04-18T00:00:00,Cycle Inspection / Re-inspection,2129621037,2018-01-31T06:00:53,4.0,CENTRE STREET,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10013,"100 CENTRE STREET MANHATTAN, NY 10013"
761,Violations were cited in the following area(s).,QUEENS,657,40364449,Critical,German,GOTTSCHEER HALL,A,2017-10-14T00:00:00,2017-10-14T00:00:00,Cycle Inspection / Re-inspection,7183663030,2018-01-31T06:00:53,13.0,FAIRVIEW AVENUE,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,11385,"657 FAIRVIEW AVENUE QUEENS, NY 11385"
762,Violations were cited in the following area(s).,QUEENS,657,40364449,Not Critical,German,GOTTSCHEER HALL,A,2017-10-14T00:00:00,2017-10-14T00:00:00,Cycle Inspection / Re-inspection,7183663030,2018-01-31T06:00:53,13.0,FAIRVIEW AVENUE,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,11385,"657 FAIRVIEW AVENUE QUEENS, NY 11385"
763,Violations were cited in the following area(s).,QUEENS,657,40364449,Not Critical,German,GOTTSCHEER HALL,A,2017-10-14T00:00:00,2017-10-14T00:00:00,Cycle Inspection / Re-inspection,7183663030,2018-01-31T06:00:53,13.0,FAIRVIEW AVENUE,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,11385,"657 FAIRVIEW AVENUE QUEENS, NY 11385"
783,Violations were cited in the following area(s).,MANHATTAN,180,40364467,Critical,American,NYAC MAIN DINING ROOM,A,2017-12-07T00:00:00,2017-12-07T00:00:00,Cycle Inspection / Re-inspection,2127677000,2018-01-31T06:00:53,5.0,CENTRAL PARK SOUTH,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10019,"180 CENTRAL PARK SOUTH MANHATTAN, NY 10019"
788,Violations were cited in the following area(s).,MANHATTAN,180,40364467,Critical,American,NYAC MAIN DINING ROOM,A,2017-03-13T00:00:00,2017-03-13T00:00:00,Cycle Inspection / Re-inspection,2127677000,2018-01-31T06:00:53,7.0,CENTRAL PARK SOUTH,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10019,"180 CENTRAL PARK SOUTH MANHATTAN, NY 10019"
789,Violations were cited in the following area(s).,MANHATTAN,180,40364467,Not Critical,American,NYAC MAIN DINING ROOM,A,2017-03-13T00:00:00,2017-03-13T00:00:00,Cycle Inspection / Re-inspection,2127677000,2018-01-31T06:00:53,7.0,CENTRAL PARK SOUTH,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,10019,"180 CENTRAL PARK SOUTH MANHATTAN, NY 10019"
800,Violations were cited in the following area(s).,MANHATTAN,108,40364518,Critical,American,7B BAR,A,2017-10-16T00:00:00,2017-10-16T00:00:00,Cycle Inspection / Re-inspection,2126776742,2018-01-31T06:00:53,13.0,AVENUE B,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",10009,"108 AVENUE B MANHATTAN, NY 10009"
801,Violations were cited in the following area(s).,MANHATTAN,108,40364518,Not Critical,American,7B BAR,A,2017-10-16T00:00:00,2017-10-16T00:00:00,Cycle Inspection / Re-inspection,2126776742,2018-01-31T06:00:53,13.0,AVENUE B,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,10009,"108 AVENUE B MANHATTAN, NY 10009"
802,Violations were cited in the following area(s).,MANHATTAN,108,40364518,Not Critical,American,7B BAR,A,2017-10-16T00:00:00,2017-10-16T00:00:00,Cycle Inspection / Re-inspection,2126776742,2018-01-31T06:00:53,13.0,AVENUE B,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10009,"108 AVENUE B MANHATTAN, NY 10009"
816,Violations were cited in the following area(s).,QUEENS,9640,40364529,Not Critical,Jewish/Kosher,BEN-BEST DELI & RESTAURANT,A,2017-04-06T00:00:00,2017-04-06T00:00:00,Cycle Inspection / Re-inspection,7188971700,2018-01-31T06:00:53,5.0,QUEENS BOULEVARD,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11374,"9640 QUEENS BOULEVARD QUEENS, NY 11374"
817,Violations were cited in the following area(s).,QUEENS,9640,40364529,Not Critical,Jewish/Kosher,BEN-BEST DELI & RESTAURANT,A,2017-04-06T00:00:00,2017-04-06T00:00:00,Cycle Inspection / Re-inspection,7188971700,2018-01-31T06:00:53,5.0,QUEENS BOULEVARD,10H,Proper sanitization not provided for utensil ware washing operation.,11374,"9640 QUEENS BOULEVARD QUEENS, NY 11374"
840,Violations were cited in the following area(s).,MANHATTAN,215,40364531,Critical,American,CAFE ATELIER (ART STUDENTS LEAGUE),A,2017-07-05T00:00:00,2017-07-05T00:00:00,Cycle Inspection / Initial Inspection,2122474510,2018-01-31T06:00:53,11.0,WEST   57 STREET,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,10019,"215 WEST   57 STREET MANHATTAN, NY 10019"
841,Violations were cited in the following area(s).,MANHATTAN,215,40364531,Not Critical,American,CAFE ATELIER (ART STUDENTS LEAGUE),A,2017-07-05T00:00:00,2017-07-05T00:00:00,Cycle Inspection / Initial Inspection,2122474510,2018-01-31T06:00:53,11.0,WEST   57 STREET,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,10019,"215 WEST   57 STREET MANHATTAN, NY 10019"
842,Violations were cited in the following area(s).,MANHATTAN,215,40364531,Not Critical,American,CAFE ATELIER (ART STUDENTS LEAGUE),A,2017-07-05T00:00:00,2017-07-05T00:00:00,Cycle Inspection / Initial Inspection,2122474510,2018-01-31T06:00:53,11.0,WEST   57 STREET,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10019,"215 WEST   57 STREET MANHATTAN, NY 10019"
864,Violations were cited in the following area(s).,MANHATTAN,845,40364572,Critical,Steak,DONOHUE'S STEAK HOUSE,A,2017-07-05T00:00:00,2017-07-05T00:00:00,Cycle Inspection / Re-inspection,2127440938,2018-01-31T06:00:53,5.0,LEXINGTON AVENUE,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10065,"845 LEXINGTON AVENUE MANHATTAN, NY 10065"
925,Establishment re-opened by DOHMH,MANHATTAN,251,40364668,Critical,Italian,MARCHIS RESTAURANT,Z,2017-11-14T00:00:00,2017-11-14T00:00:00,Cycle Inspection / Reopening Inspection,2126792494,2018-01-31T06:00:53,10.0,EAST   31 STREET,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,10016,"251 EAST   31 STREET MANHATTAN, NY 10016"
926,Establishment re-opened by DOHMH,MANHATTAN,251,40364668,Not Critical,Italian,MARCHIS RESTAURANT,Z,2017-11-14T00:00:00,2017-11-14T00:00:00,Cycle Inspection / Reopening Inspection,2126792494,2018-01-31T06:00:53,10.0,EAST   31 STREET,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,10016,"251 EAST   31 STREET MANHATTAN, NY 10016"
936,Violations were cited in the following area(s).,MANHATTAN,251,40364668,Critical,Italian,MARCHIS RESTAURANT,A,2017-01-17T00:00:00,2017-01-17T00:00:00,Cycle Inspection / Re-inspection,2126792494,2018-01-31T06:00:53,12.0,EAST   31 STREET,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,10016,"251 EAST   31 STREET MANHATTAN, NY 10016"
937,Violations were cited in the following area(s).,MANHATTAN,251,40364668,Critical,Italian,MARCHIS RESTAURANT,A,2017-01-17T00:00:00,2017-01-17T00:00:00,Cycle Inspection / Re-inspection,2126792494,2018-01-31T06:00:53,12.0,EAST   31 STREET,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10016,"251 EAST   31 STREET MANHATTAN, NY 10016"
938,Violations were cited in the following area(s).,MANHATTAN,251,40364668,Not Critical,Italian,MARCHIS RESTAURANT,A,2017-01-17T00:00:00,2017-01-17T00:00:00,Cycle Inspection / Re-inspection,2126792494,2018-01-31T06:00:53,12.0,EAST   31 STREET,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,10016,"251 EAST   31 STREET MANHATTAN, NY 10016"
939,Violations were cited in the following area(s).,MANHATTAN,251,40364668,Not Critical,Italian,MARCHIS RESTAURANT,A,2017-01-17T00:00:00,2017-01-17T00:00:00,Cycle Inspection / Re-inspection,2126792494,2018-01-31T06:00:53,12.0,EAST   31 STREET,09C,Food contact surface not properly maintained.,10016,"251 EAST   31 STREET MANHATTAN, NY 10016"
955,Violations were cited in the following area(s).,BROOKLYN,2602,40364681,Critical,American,TOWNE CAFE,A,2017-08-01T00:00:00,2017-08-01T00:00:00,Cycle Inspection / Initial Inspection,5162419888,2018-01-31T06:00:53,13.0,EAST   15 STREET,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",11235,"2602 EAST   15 STREET BROOKLYN, NY 11235"
956,Violations were cited in the following area(s).,BROOKLYN,2602,40364681,Not Critical,American,TOWNE CAFE,A,2017-08-01T00:00:00,2017-08-01T00:00:00,Cycle Inspection / Initial Inspection,5162419888,2018-01-31T06:00:53,13.0,EAST   15 STREET,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,11235,"2602 EAST   15 STREET BROOKLYN, NY 11235"
957,Violations were cited in the following area(s).,BROOKLYN,2602,40364681,Not Critical,American,TOWNE CAFE,A,2017-08-01T00:00:00,2017-08-01T00:00:00,Cycle Inspection / Initial Inspection,5162419888,2018-01-31T06:00:53,13.0,EAST   15 STREET,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,11235,"2602 EAST   15 STREET BROOKLYN, NY 11235"
970,Violations were cited in the following area(s).,MANHATTAN,.1-A,40364691,Critical,Continental,THE GEORGIAN SUITE KITCHEN,A,2017-02-24T00:00:00,2017-02-24T00:00:00,Cycle Inspection / Re-inspection,2127341468,2018-01-31T06:00:53,9.0,EAST 77 ST,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,10021,".1-A EAST 77 ST MANHATTAN, NY 10021"
971,Violations were cited in the following area(s).,MANHATTAN,.1-A,40364691,Not Critical,Continental,THE GEORGIAN SUITE KITCHEN,A,2017-02-24T00:00:00,2017-02-24T00:00:00,Cycle Inspection / Re-inspection,2127341468,2018-01-31T06:00:53,9.0,EAST 77 ST,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,10021,".1-A EAST 77 ST MANHATTAN, NY 10021"
977,Violations were cited in the following area(s).,MANHATTAN,56,40364715,Critical,American,OLD HOMESTEAD,A,2017-08-28T00:00:00,2017-08-28T00:00:00,Cycle Inspection / Re-inspection,2122429040,2018-01-31T06:00:53,12.0,9 AVENUE,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10011,"56 9 AVENUE MANHATTAN, NY 10011"
978,Violations were cited in the following area(s).,MANHATTAN,56,40364715,Not Critical,American,OLD HOMESTEAD,A,2017-08-28T00:00:00,2017-08-28T00:00:00,Cycle Inspection / Re-inspection,2122429040,2018-01-31T06:00:53,12.0,9 AVENUE,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,10011,"56 9 AVENUE MANHATTAN, NY 10011"
979,Violations were cited in the following area(s).,MANHATTAN,56,40364715,Not Critical,American,OLD HOMESTEAD,A,2017-08-28T00:00:00,2017-08-28T00:00:00,Cycle Inspection / Re-inspection,2122429040,2018-01-31T06:00:53,12.0,9 AVENUE,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10011,"56 9 AVENUE MANHATTAN, NY 10011"
