,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,ROOFTOP,"1007 Morris Park Ave, Bronx, NY 10462, USA",ChIJebQer6X0wokRAP4btB-ZxvQ,"1007 MORRIS PARK AVE BRONX, NY 10462",40.8484319,-73.8560353,1,10462,OK,premise
1,ROOFTOP,"1007 Morris Park Ave, Bronx, NY 10462, USA",ChIJebQer6X0wokRAP4btB-ZxvQ,"1007 MORRIS PARK AVE BRONX, NY 10462",40.8484319,-73.8560353,1,10462,OK,premise
2,,,,"469 FLATBUSH AVENUE BROOKLYN, NY 11225",,,0,,UNKNOWN_ERROR,
3,ROOFTOP,"469 Flatbush Ave, Brooklyn, NY 11225, USA",ChIJK2spgxJbwokRLpozBWp1zqU,"469 FLATBUSH AVENUE BROOKLYN, NY 11225",40.6629206,-73.9617267,1,11225,OK,premise
4,ROOFTOP,"351 W 57th St, New York, NY 10019, USA",ChIJF7pI9lhYwokRw3KqlMpn5p4,"351 WEST   57 STREET MANHATTAN, NY 10019",40.7678208,-73.9849813,1,10019,OK,street_address
5,ROOFTOP,"351 W 57th St, New York, NY 10019, USA",ChIJF7pI9lhYwokRw3KqlMpn5p4,"351 WEST   57 STREET MANHATTAN, NY 10019",40.7678208,-73.9849813,1,10019,OK,street_address
6,ROOFTOP,"2780 Stillwell Ave, Brooklyn, NY 11224, USA",ChIJs6CLKUtEwokRiWfuX0G3aCo,"2780 STILLWELL AVENUE BROOKLYN, NY 11224",40.5795258,-73.982425,1,11224,OK,premise
7,ROOFTOP,"2780 Stillwell Ave, Brooklyn, NY 11224, USA",ChIJs6CLKUtEwokRiWfuX0G3aCo,"2780 STILLWELL AVENUE BROOKLYN, NY 11224",40.5795258,-73.982425,1,11224,OK,premise
8,ROOFTOP,"2780 Stillwell Ave, Brooklyn, NY 11224, USA",ChIJs6CLKUtEwokRiWfuX0G3aCo,"2780 STILLWELL AVENUE BROOKLYN, NY 11224",40.5795258,-73.982425,1,11224,OK,premise
9,ROOFTOP,"88-25 Astoria Blvd, Flushing, NY 11369, USA",ChIJA-0YdJlfwokRDj4f9uYw_o8,"8825 ASTORIA BOULEVARD QUEENS, NY 11369",40.7643124,-73.8803827,1,11369,OK,street_address
10,ROOFTOP,"88-25 Astoria Blvd, Flushing, NY 11369, USA",ChIJA-0YdJlfwokRDj4f9uYw_o8,"8825 ASTORIA BOULEVARD QUEENS, NY 11369",40.7643124,-73.8803827,1,11369,OK,street_address
11,ROOFTOP,"7114 Avenue U, Brooklyn, NY 11234, USA",ChIJIxVPsjZDwokRKI4_SATZULk,"7114 AVENUE U BROOKLYN, NY 11234",40.6198928,-73.9068396,1,11234,OK,premise
12,ROOFTOP,"7114 Avenue U, Brooklyn, NY 11234, USA",ChIJIxVPsjZDwokRKI4_SATZULk,"7114 AVENUE U BROOKLYN, NY 11234",40.6198928,-73.9068396,1,11234,OK,premise
13,,,,"7114 AVENUE U BROOKLYN, NY 11234",,,0,,UNKNOWN_ERROR,
14,ROOFTOP,"1839 Nostrand Ave, Brooklyn, NY 11226, USA",ChIJA9tq-09bwokRKLZ7lKTihDM,"1839 NOSTRAND AVENUE BROOKLYN, NY 11226",40.64083249999999,-73.94826239999999,1,11226,OK,street_address
15,ROOFTOP,"1839 Nostrand Ave, Brooklyn, NY 11226, USA",ChIJA9tq-09bwokRKLZ7lKTihDM,"1839 NOSTRAND AVENUE BROOKLYN, NY 11226",40.64083249999999,-73.94826239999999,1,11226,OK,street_address
16,ROOFTOP,"2300 Southern Blvd, Bronx, NY 10460, USA",ChIJA4YQPoX0wokR4SNkqyLiCag,"2300 SOUTHERN BOULEVARD BRONX, NY 10460",40.8502883,-73.8786113,1,10460,OK,street_address
17,ROOFTOP,"1 E 66th St, New York, NY 10065, USA",ChIJQV4j2-1YwokRJmLqQrKvKWE,"1 EAST   66 STREET MANHATTAN, NY 10065",40.7685235,-73.96926909999999,1,10065,OK,street_address
18,ROOFTOP,"1 E 66th St, New York, NY 10065, USA",ChIJQV4j2-1YwokRJmLqQrKvKWE,"1 EAST   66 STREET MANHATTAN, NY 10065",40.7685235,-73.96926909999999,1,10065,OK,street_address
19,ROOFTOP,"1 E 66th St, New York, NY 10065, USA",ChIJQV4j2-1YwokRJmLqQrKvKWE,"1 EAST   66 STREET MANHATTAN, NY 10065",40.7685235,-73.96926909999999,1,10065,OK,street_address
20,ROOFTOP,"1310 Surf Ave, Brooklyn, NY 11224, USA",ChIJD9aJFTVEwokRtvxxa6xAQ5g,"1310 SURF AVENUE BROOKLYN, NY 11224",40.57529450000001,-73.98147469999999,1,11224,OK,premise
21,ROOFTOP,"1310 Surf Ave, Brooklyn, NY 11224, USA",ChIJD9aJFTVEwokRtvxxa6xAQ5g,"1310 SURF AVENUE BROOKLYN, NY 11224",40.57529450000001,-73.98147469999999,1,11224,OK,premise
22,ROOFTOP,"1310 Surf Ave, Brooklyn, NY 11224, USA",ChIJD9aJFTVEwokRtvxxa6xAQ5g,"1310 SURF AVENUE BROOKLYN, NY 11224",40.57529450000001,-73.98147469999999,1,11224,OK,premise
23,ROOFTOP,"705 Kings Hwy, Brooklyn, NY 11223, USA",ChIJ97xYf-5EwokRiam1Yi5El6E,"705 KINGS HIGHWAY BROOKLYN, NY 11223",40.60641469999999,-73.965395,1,11223,OK,premise
24,ROOFTOP,"705 Kings Hwy, Brooklyn, NY 11223, USA",ChIJ97xYf-5EwokRiam1Yi5El6E,"705 KINGS HIGHWAY BROOKLYN, NY 11223",40.60641469999999,-73.965395,1,11223,OK,premise
25,ROOFTOP,"705 Kings Hwy, Brooklyn, NY 11223, USA",ChIJ97xYf-5EwokRiam1Yi5El6E,"705 KINGS HIGHWAY BROOKLYN, NY 11223",40.60641469999999,-73.965395,1,11223,OK,premise
26,ROOFTOP,"705 Kings Hwy, Brooklyn, NY 11223, USA",ChIJ97xYf-5EwokRiam1Yi5El6E,"705 KINGS HIGHWAY BROOKLYN, NY 11223",40.60641469999999,-73.965395,1,11223,OK,premise
27,ROOFTOP,"705 Kings Hwy, Brooklyn, NY 11223, USA",ChIJ97xYf-5EwokRiam1Yi5El6E,"705 KINGS HIGHWAY BROOKLYN, NY 11223",40.60641469999999,-73.965395,1,11223,OK,premise
28,ROOFTOP,"705 Kings Hwy, Brooklyn, NY 11223, USA",ChIJ97xYf-5EwokRiam1Yi5El6E,"705 KINGS HIGHWAY BROOKLYN, NY 11223",40.60641469999999,-73.965395,1,11223,OK,premise
29,ROOFTOP,"705 Kings Hwy, Brooklyn, NY 11223, USA",ChIJ97xYf-5EwokRiam1Yi5El6E,"705 KINGS HIGHWAY BROOKLYN, NY 11223",40.60641469999999,-73.965395,1,11223,OK,premise
30,,,,"203 CHURCH AVENUE BROOKLYN, NY 11218",,,0,,UNKNOWN_ERROR,
31,ROOFTOP,"203 Church Ave, Brooklyn, NY 11218, USA",ChIJk6oK3ChbwokRUc5g61eWloo,"203 CHURCH AVENUE BROOKLYN, NY 11218",40.6435523,-73.9782209,1,11218,OK,premise
32,ROOFTOP,"203 Church Ave, Brooklyn, NY 11218, USA",ChIJk6oK3ChbwokRUc5g61eWloo,"203 CHURCH AVENUE BROOKLYN, NY 11218",40.6435523,-73.9782209,1,11218,OK,premise
33,ROOFTOP,"265-15 Hillside Avenue, Glen Oaks, NY 11004, USA",ChIJ_9LVmGFiwokRm73o34TMLGU,"26515 HILLSIDE AVENUE QUEENS, NY 11004",40.7386242,-73.70326270000001,1,11004,OK,premise
34,ROOFTOP,"265-15 Hillside Avenue, Glen Oaks, NY 11004, USA",ChIJ_9LVmGFiwokRm73o34TMLGU,"26515 HILLSIDE AVENUE QUEENS, NY 11004",40.7386242,-73.70326270000001,1,11004,OK,premise
35,,,,"3406 10 STREET QUEENS, NY 11106",,,0,,UNKNOWN_ERROR,
36,RANGE_INTERPOLATED,"3406 10th St, Astoria, NY 11106, USA",EiQzNDA2IDEwdGggU3QsIEFzdG9yaWEsIE5ZIDExMTA2LCBVU0E,"3406 10 STREET QUEENS, NY 11106",40.7647791,-73.93896099999999,1,11106,OK,street_address
37,ROOFTOP,"502 Amsterdam Ave, New York, NY 10024, USA",ChIJ97_eMIRYwokRLNGlmAjUmLk,"502 AMSTERDAM AVENUE MANHATTAN, NY 10024",40.7866952,-73.9760984,1,10024,OK,premise
38,,,,"502 AMSTERDAM AVENUE MANHATTAN, NY 10024",,,0,,UNKNOWN_ERROR,
39,ROOFTOP,"502 Amsterdam Ave, New York, NY 10024, USA",ChIJ97_eMIRYwokRLNGlmAjUmLk,"502 AMSTERDAM AVENUE MANHATTAN, NY 10024",40.7866952,-73.9760984,1,10024,OK,premise
40,ROOFTOP,"502 Amsterdam Ave, New York, NY 10024, USA",ChIJ97_eMIRYwokRLNGlmAjUmLk,"502 AMSTERDAM AVENUE MANHATTAN, NY 10024",40.7866952,-73.9760984,1,10024,OK,premise
41,ROOFTOP,"730 Columbus Ave, New York, NY 10025, USA",ChIJpUVYfif2wokRMH7M8YuxO1g,"730 COLUMBUS AVENUE MANHATTAN, NY 10025",40.7926303,-73.9680729,1,10025,OK,premise
42,ROOFTOP,"730 Columbus Ave, New York, NY 10025, USA",ChIJpUVYfif2wokRMH7M8YuxO1g,"730 COLUMBUS AVENUE MANHATTAN, NY 10025",40.7926303,-73.9680729,1,10025,OK,premise
43,ROOFTOP,"730 Columbus Ave, New York, NY 10025, USA",ChIJpUVYfif2wokRMH7M8YuxO1g,"730 COLUMBUS AVENUE MANHATTAN, NY 10025",40.7926303,-73.9680729,1,10025,OK,premise
44,ROOFTOP,"18 W Houston St, New York, NY 10012, USA",ChIJr0emsI9ZwokRjMX3AMBlw8g,"18 WEST HOUSTON STREET MANHATTAN, NY 10012",40.725844,-73.99697499999999,1,10012,OK,street_address
45,ROOFTOP,"103-05 37th Ave, Flushing, NY 11368, USA",ChIJGyhot8BfwokRl7gr137PyIo,"10305 37 AVENUE QUEENS, NY 11368",40.75356,-73.8642349,1,11368,OK,street_address
46,ROOFTOP,"103-05 37th Ave, Flushing, NY 11368, USA",ChIJGyhot8BfwokRl7gr137PyIo,"10305 37 AVENUE QUEENS, NY 11368",40.75356,-73.8642349,1,11368,OK,street_address
47,ROOFTOP,"60 Wall St, New York, NY 10005, USA",ChIJG9CSRBZawokR25ktZYD1jRY,"60 WALL STREET MANHATTAN, NY 10005",40.706197,-74.00848959999999,1,10005,OK,street_address
48,ROOFTOP,"60 Wall St, New York, NY 10005, USA",ChIJG9CSRBZawokR25ktZYD1jRY,"60 WALL STREET MANHATTAN, NY 10005",40.706197,-74.00848959999999,1,10005,OK,street_address
49,ROOFTOP,"60 Wall St, New York, NY 10005, USA",ChIJG9CSRBZawokR25ktZYD1jRY,"60 WALL STREET MANHATTAN, NY 10005",40.706197,-74.00848959999999,1,10005,OK,street_address
50,ROOFTOP,"195 E 56th St, Brooklyn, NY 11203, USA",ChIJHVEt45lcwokRS5DepY5kugk,"195 EAST   56 STREET BROOKLYN, NY 11203",40.6522187,-73.9244528,1,11203,OK,street_address
51,ROOFTOP,"195 E 56th St, Brooklyn, NY 11203, USA",ChIJHVEt45lcwokRS5DepY5kugk,"195 EAST   56 STREET BROOKLYN, NY 11203",40.6522187,-73.9244528,1,11203,OK,street_address
52,ROOFTOP,"56 Court St, Brooklyn, NY 11201, USA",ChIJG2SNK0lawokRpvAdd8cAIa8,"56 COURT STREET BROOKLYN, NY 11201",40.692245,-73.99142499999999,1,11201,OK,street_address
53,ROOFTOP,"56 Court St, Brooklyn, NY 11201, USA",ChIJG2SNK0lawokRpvAdd8cAIa8,"56 COURT STREET BROOKLYN, NY 11201",40.692245,-73.99142499999999,1,11201,OK,street_address
54,ROOFTOP,"56 Court St, Brooklyn, NY 11201, USA",ChIJG2SNK0lawokRpvAdd8cAIa8,"56 COURT STREET BROOKLYN, NY 11201",40.692245,-73.99142499999999,1,11201,OK,street_address
55,ROOFTOP,"625 8th Ave, New York, NY 10018, USA",ChIJCTk6aFNYwokRQw1zNt_HuXE,"625 8 AVENUE MANHATTAN, NY 10018",40.756888,-73.9917742,1,10018,OK,street_address
56,ROOFTOP,"625 8th Ave, New York, NY 10018, USA",ChIJCTk6aFNYwokRQw1zNt_HuXE,"625 8 AVENUE MANHATTAN, NY 10018",40.756888,-73.9917742,1,10018,OK,street_address
57,ROOFTOP,"10-69 Wyckoff Ave, Flushing, NY 11385, USA",ChIJY_zuOSVcwokRqEtSOmn60iA,"1069 WYCKOFF AVENUE QUEENS, NY 11385",40.6948859,-73.9025265,1,11385,OK,premise
58,ROOFTOP,"10-69 Wyckoff Ave, Flushing, NY 11385, USA",ChIJY_zuOSVcwokRqEtSOmn60iA,"1069 WYCKOFF AVENUE QUEENS, NY 11385",40.6948859,-73.9025265,1,11385,OK,premise
59,ROOFTOP,"405 Lexington Ave, New York, NY 10174, USA",ChIJAe73SQJZwokRHTRcoQpAhF8,"405 LEXINGTON AVENUE MANHATTAN, NY 10174",40.7516715,-73.97538250000001,1,10174,OK,street_address
60,ROOFTOP,"405 Lexington Ave, New York, NY 10174, USA",ChIJAe73SQJZwokRHTRcoQpAhF8,"405 LEXINGTON AVENUE MANHATTAN, NY 10174",40.7516715,-73.97538250000001,1,10174,OK,street_address
61,ROOFTOP,"79-05 Metropolitan Ave, Middle Village, NY 11379, USA",ChIJo9HE525ewokRNfUaTSn3e3Q,"7905 METROPOLITAN AVENUE QUEENS, NY 11379",40.7135015,-73.8740217,1,11379,OK,street_address
62,ROOFTOP,"79-05 Metropolitan Ave, Middle Village, NY 11379, USA",ChIJo9HE525ewokRNfUaTSn3e3Q,"7905 METROPOLITAN AVENUE QUEENS, NY 11379",40.7135015,-73.8740217,1,11379,OK,street_address
63,ROOFTOP,"79-05 Metropolitan Ave, Middle Village, NY 11379, USA",ChIJo9HE525ewokRNfUaTSn3e3Q,"7905 METROPOLITAN AVENUE QUEENS, NY 11379",40.7135015,-73.8740217,1,11379,OK,street_address
